Source,Target,Weight
"AH","AD",2
"AM","AD",2
"AM","AH",2
"AN","AD",2
"AN","AH",2
"AN","AM",2
"AS","AD",2
"AS","AH",2
"AS","AM",2
"AS","AN",2
"AT","AD",2
"AT","AH",2
"AT","AM",2
"AT","AN",2
"AT","AS",2
"AW","AD",2
"AW","AH",2
"AW","AM",2
"AW","AN",2
"AW","AS",2
"AW","AT",2
"AX","AD",2
"AX","AH",2
"AX","AM",2
"AX","AN",2
"AX","AS",2
"AX","AT",2
"AX","AW",2
"AY","AD",2
"AY","AH",2
"AY","AM",2
"AY","AN",2
"AY","AS",2
"AY","AT",2
"AY","AW",2
"AY","AX",2
"BI","BE",2
"BY","AY",2
"BY","BE",2
"BY","BI",2
"EH","AH",2
"ER","EH",2
"EW","AW",2
"EW","EH",2
"EW","ER",2
"EX","AX",2
"EX","EH",2
"EX","ER",2
"EX","EW",2
"GO","DO",2
"HA","FA",2
"HE","BE",2
"HE","HA",2
"HI","BI",2
"HI","HA",2
"HI","HE",2
"HM","AM",2
"HM","HA",2
"HM","HE",2
"HM","HI",2
"HO","DO",2
"HO","GO",2
"HO","HA",2
"HO","HE",2
"HO","HI",2
"HO","HM",2
"ID","AD",2
"IF","ID",2
"IN","AN",2
"IN","ID",2
"IN","IF",2
"IS","AS",2
"IS","ID",2
"IS","IF",2
"IS","IN",2
"IT","AT",2
"IT","ID",2
"IT","IF",2
"IT","IN",2
"IT","IS",2
"LA","FA",2
"LA","HA",2
"LO","DO",2
"LO","GO",2
"LO","HO",2
"LO","LA",2
"MA","FA",2
"MA","HA",2
"MA","LA",2
"ME","BE",2
"ME","HE",2
"ME","MA",2
"MI","BI",2
"MI","HI",2
"MI","MA",2
"MI","ME",2
"MO","DO",2
"MO","GO",2
"MO","HO",2
"MO","LO",2
"MO","MA",2
"MO","ME",2
"MO","MI",2
"MY","AY",2
"MY","BY",2
"MY","MA",2
"MY","ME",2
"MY","MI",2
"MY","MO",2
"NO","DO",2
"NO","GO",2
"NO","HO",2
"NO","LO",2
"NO","MO",2
"OF","IF",2
"OH","AH",2
"OH","EH",2
"OH","OF",2
"OI","BI",2
"OI","HI",2
"OI","MI",2
"OI","OF",2
"OI","OH",2
"ON","AN",2
"ON","IN",2
"ON","OF",2
"ON","OH",2
"ON","OI",2
"OP","OF",2
"OP","OH",2
"OP","OI",2
"OP","ON",2
"OR","ER",2
"OR","OF",2
"OR","OH",2
"OR","OI",2
"OR","ON",2
"OR","OP",2
"OW","AW",2
"OW","EW",2
"OW","OF",2
"OW","OH",2
"OW","OI",2
"OW","ON",2
"OW","OP",2
"OW","OR",2
"OX","AX",2
"OX","EX",2
"OX","OF",2
"OX","OH",2
"OX","OI",2
"OX","ON",2
"OX","OP",2
"OX","OR",2
"OX","OW",2
"PA","FA",2
"PA","HA",2
"PA","LA",2
"PA","MA",2
"PI","BI",2
"PI","HI",2
"PI","MI",2
"PI","OI",2
"PI","PA",2
"RE","BE",2
"RE","HE",2
"RE","ME",2
"SH","AH",2
"SH","EH",2
"SH","OH",2
"SO","DO",2
"SO","GO",2
"SO","HO",2
"SO","LO",2
"SO","MO",2
"SO","NO",2
"SO","SH",2
"TA","FA",2
"TA","HA",2
"TA","LA",2
"TA","MA",2
"TA","PA",2
"TI","BI",2
"TI","HI",2
"TI","MI",2
"TI","OI",2
"TI","PI",2
"TI","TA",2
"TO","DO",2
"TO","GO",2
"TO","HO",2
"TO","LO",2
"TO","MO",2
"TO","NO",2
"TO","SO",2
"TO","TA",2
"TO","TI",2
"UH","AH",2
"UH","EH",2
"UH","OH",2
"UH","SH",2
"UM","AM",2
"UM","HM",2
"UM","UH",2
"UP","OP",2
"UP","UH",2
"UP","UM",2
"US","AS",2
"US","IS",2
"US","UH",2
"US","UM",2
"US","UP",2
"WE","BE",2
"WE","HE",2
"WE","ME",2
"WE","RE",2
"YA","FA",2
"YA","HA",2
"YA","LA",2
"YA","MA",2
"YA","PA",2
"YA","TA",2
"YE","BE",2
"YE","HE",2
"YE","ME",2
"YE","RE",2
"YE","WE",2
"YE","YA",2
"YO","DO",2
"YO","GO",2
"YO","HO",2
"YO","LO",2
"YO","MO",2
"YO","NO",2
"YO","SO",2
"YO","TO",2
"YO","YA",2
"YO","YE",2
"AD","ADD",1
"AD","ADO",1
"AD","ADS",1
"AD","ADZ",1
"AD","AID",1
"AD","AND",1
"AD","BAD",1
"AD","CAD",1
"AD","DAD",1
"AD","FAD",1
"AD","GAD",1
"AD","HAD",1
"AD","LAD",1
"AD","MAD",1
"AD","PAD",1
"AD","RAD",1
"AD","SAD",1
"AD","TAD",1
"AD","WAD",1
"AH","AAH",1
"AH","AHA",1
"AH","ASH",1
"AH","BAH",1
"AH","FAH",1
"AH","HAH",1
"AH","LAH",1
"AH","NAH",1
"AH","RAH",1
"AM","AIM",1
"AM","AMP",1
"AM","ARM",1
"AM","CAM",1
"AM","DAM",1
"AM","HAM",1
"AM","JAM",1
"AM","LAM",1
"AM","MAM",1
"AM","RAM",1
"AM","YAM",1
"AN","AND",1
"AN","ANT",1
"AN","ANY",1
"AN","BAN",1
"AN","CAN",1
"AN","FAN",1
"AN","MAN",1
"AN","NAN",1
"AN","PAN",1
"AN","RAN",1
"AN","TAN",1
"AN","VAN",1
"AN","WAN",1
"AS","ABS",1
"AS","ADS",1
"AS","ASH",1
"AS","ASK",1
"AS","ASP",1
"AS","ASS",1
"AS","FAS",1
"AS","GAS",1
"AS","HAS",1
"AS","LAS",1
"AS","MAS",1
"AS","PAS",1
"AS","WAS",1
"AT","ACT",1
"AT","AFT",1
"AT","ANT",1
"AT","APT",1
"AT","ART",1
"AT","ATE",1
"AT","BAT",1
"AT","CAT",1
"AT","EAT",1
"AT","FAT",1
"AT","HAT",1
"AT","MAT",1
"AT","OAT",1
"AT","PAT",1
"AT","RAT",1
"AT","SAT",1
"AT","TAT",1
"AT","VAT",1
"AW","AWE",1
"AW","AWL",1
"AW","CAW",1
"AW","HAW",1
"AW","JAW",1
"AW","LAW",1
"AW","MAW",1
"AW","PAW",1
"AW","RAW",1
"AW","SAW",1
"AW","YAW",1
"AX","AXE",1
"AX","FAX",1
"AX","LAX",1
"AX","MAX",1
"AX","SAX",1
"AX","TAX",1
"AX","WAX",1
"AY","ANY",1
"AY","AYE",1
"AY","BAY",1
"AY","DAY",1
"AY","GAY",1
"AY","HAY",1
"AY","JAY",1
"AY","LAY",1
"AY","MAY",1
"AY","NAY",1
"AY","PAY",1
"AY","RAY",1
"AY","SAY",1
"AY","WAY",1
"AY","YAY",1
"BE","BED",1
"BE","BEE",1
"BE","BEG",1
"BE","BET",1
"BE","BYE",1
"BI","BIB",1
"BI","BID",1
"BI","BIG",1
"BI","BIN",1
"BI","BIT",1
"BI","BIZ",1
"BY","BAY",1
"BY","BOY",1
"BY","BUY",1
"BY","BYE",1
"DO","ADO",1
"DO","DOB",1
"DO","DOC",1
"DO","DOE",1
"DO","DOG",1
"DO","DOH",1
"DO","DON",1
"DO","DOS",1
"DO","DOT",1
"DO","DUO",1
"EH","MEH",1
"ER","EAR",1
"ER","ERA",1
"ER","ERE",1
"ER","ERR",1
"ER","HER",1
"ER","PER",1
"ER","YER",1
"EW","DEW",1
"EW","EWE",1
"EW","EWW",1
"EW","FEW",1
"EW","HEW",1
"EW","MEW",1
"EW","NEW",1
"EW","PEW",1
"EW","SEW",1
"EW","YEW",1
"EX","HEX",1
"EX","SEX",1
"EX","VEX",1
"FA","FAB",1
"FA","FAD",1
"FA","FAG",1
"FA","FAH",1
"FA","FAN",1
"FA","FAR",1
"FA","FAS",1
"FA","FAT",1
"FA","FAX",1
"GO","AGO",1
"GO","EGO",1
"GO","GOB",1
"GO","GOD",1
"GO","GOO",1
"GO","GOT",1
"HA","AHA",1
"HA","HAD",1
"HA","HAG",1
"HA","HAH",1
"HA","HAJ",1
"HA","HAM",1
"HA","HAS",1
"HA","HAT",1
"HA","HAW",1
"HA","HAY",1
"HE","HEM",1
"HE","HEN",1
"HE","HER",1
"HE","HEW",1
"HE","HEX",1
"HE","HEY",1
"HE","HIE",1
"HE","HOE",1
"HE","HUE",1
"HE","SHE",1
"HE","THE",1
"HI","HID",1
"HI","HIE",1
"HI","HIM",1
"HI","HIP",1
"HI","HIS",1
"HI","HIT",1
"HM","HAM",1
"HM","HEM",1
"HM","HIM",1
"HM","HMM",1
"HM","HUM",1
"HM","MHM",1
"HM","OHM",1
"HO","HOB",1
"HO","HOD",1
"HO","HOE",1
"HO","HOG",1
"HO","HON",1
"HO","HOP",1
"HO","HOS",1
"HO","HOT",1
"HO","HOW",1
"HO","OHO",1
"HO","THO",1
"HO","WHO",1
"ID","AID",1
"ID","BID",1
"ID","DID",1
"ID","HID",1
"ID","IDS",1
"ID","KID",1
"ID","LID",1
"ID","MID",1
"ID","RID",1
"ID","YID",1
"IF","IFS",1
"IN","BIN",1
"IN","DIN",1
"IN","FIN",1
"IN","GIN",1
"IN","INK",1
"IN","INN",1
"IN","INS",1
"IN","ION",1
"IN","KIN",1
"IN","PIN",1
"IN","SIN",1
"IN","TIN",1
"IN","WIN",1
"IN","YIN",1
"IS","DIS",1
"IS","HIS",1
"IS","IDS",1
"IS","IFS",1
"IS","INS",1
"IS","ISM",1
"IS","ITS",1
"IS","SIS",1
"IS","TIS",1
"IT","BIT",1
"IT","FIT",1
"IT","GIT",1
"IT","HIT",1
"IT","ITS",1
"IT","KIT",1
"IT","LIT",1
"IT","NIT",1
"IT","PIT",1
"IT","SIT",1
"IT","TIT",1
"IT","WIT",1
"IT","ZIT",1
"LA","LAB",1
"LA","LAD",1
"LA","LAG",1
"LA","LAH",1
"LA","LAM",1
"LA","LAP",1
"LA","LAS",1
"LA","LAV",1
"LA","LAW",1
"LA","LAX",1
"LA","LAY",1
"LO","LOB",1
"LO","LOG",1
"LO","LOO",1
"LO","LOP",1
"LO","LOT",1
"LO","LOW",1
"LO","LOX",1
"MA","MAC",1
"MA","MAD",1
"MA","MAG",1
"MA","MAM",1
"MA","MAN",1
"MA","MAP",1
"MA","MAR",1
"MA","MAS",1
"MA","MAT",1
"MA","MAW",1
"MA","MAX",1
"MA","MAY",1
"ME","MED",1
"ME","MEG",1
"ME","MEH",1
"ME","MEN",1
"ME","MET",1
"ME","MEW",1
"MI","MIC",1
"MI","MID",1
"MI","MIL",1
"MI","MIX",1
"MI","MOI",1
"MO","EMO",1
"MO","MOB",1
"MO","MOD",1
"MO","MOI",1
"MO","MOM",1
"MO","MOO",1
"MO","MOP",1
"MO","MOW",1
"MY","MAY",1
"NO","NOB",1
"NO","NOD",1
"NO","NOR",1
"NO","NOT",1
"NO","NOW",1
"OF","OAF",1
"OF","OFF",1
"OF","OFT",1
"OH","DOH",1
"OH","OCH",1
"OH","OHM",1
"OH","OHO",1
